idx;myDate;WKN;Name;Value;SMA;Einstiegspreis;Distance;Account;Trend
0;Datum;A1EWWW;Adidas;0;0;0;0;0;0
1;2000-01-03;A1EWWW;Adidas;17,925;17,925;0;0;0;0
2;2000-01-04;A1EWWW;Adidas;17,5;17,7125;0;-0,0121428571428571;0;0
3;2000-01-05;A1EWWW;Adidas;17,5;17,6416666666667;0;-0,00809523809523804;0;0
4;2000-01-06;A1EWWW;Adidas;18,25;17,79375;0;0,025;0;0
5;2000-01-07;A1EWWW;Adidas;18;17,835;0;0,00916666666666662;0;0
6;2000-01-10;A1EWWW;Adidas;18,2725;17,9079166666667;0;0,0199525698910021;0;0
7;2000-01-11;A1EWWW;Adidas;18,1025;17,9357142857143;0;0,00921340777714216;0;0
8;2000-01-12;A1EWWW;Adidas;18;17,94375;0;0,00312500000000012;0;0
9;2000-01-13;A1EWWW;Adidas;17,4625;17,8902777777778;0;-0,0244969378827646;0;0
10;2000-01-14;A1EWWW;Adidas;16,8375;17,785;0;-0,0562731997030439;0;0
11;2000-01-17;A1EWWW;Adidas;17;17,7136363636364;0;-0,0419786096256685;0;0
12;2000-01-18;A1EWWW;Adidas;17;17,6541666666667;0;-0,0384803921568627;0;0
13;2000-01-19;A1EWWW;Adidas;16,65;17,5769230769231;0;-0,0556710556710557;0;0
14;2000-01-20;A1EWWW;Adidas;16,375;17,4910714285714;0;-0,0681570338058887;0;0
15;2000-01-21;A1EWWW;Adidas;16,3875;17,4175;0;-0,0628527841342487;0;0
16;2000-01-24;A1EWWW;Adidas;16,5;17,36015625;0;-0,0521306818181818;0;0
17;2000-01-25;A1EWWW;Adidas;15,96;17,2777941176471;0;-0,0825685537372843;0;0
18;2000-01-26;A1EWWW;Adidas;15,4125;17,1741666666667;0;-0,114301162476345;0;0
19;2000-01-27;A1EWWW;Adidas;16,3375;17,1301315789474;0;-0,0485160874642613;0;0
20;2000-01-28;A1EWWW;Adidas;15,5;17,048625;0;-0,0999112903225805;0;0
21;2000-01-31;A1EWWW;Adidas;14,3275;16,9190476190476;0;-0,180879261493465;0;0
22;2000-02-01;A1EWWW;Adidas;14,775;16,8215909090909;0;-0,138517151207506;0;0
23;2000-02-02;A1EWWW;Adidas;14,375;16,7152173913043;0;-0,162797731568998;0;0
24;2000-02-03;A1EWWW;Adidas;14,35;16,6166666666667;0;-0,157955865272938;0;0
25;2000-02-04;A1EWWW;Adidas;14,35;16,526;0;-0,151637630662021;0;0
26;2000-02-07;A1EWWW;Adidas;15,425;16,4836538461538;0;-0,0686323401072185;0;0
27;2000-02-08;A1EWWW;Adidas;14,5525;16,4121296296296;0;-0,127787639898961;0;0
28;2000-02-09;A1EWWW;Adidas;13,75;16,3170535714286;0;-0,186694805194805;0;0
29;2000-02-10;A1EWWW;Adidas;13,975;16,2362931034483;0;-0,161809882178768;0;0
30;2000-02-11;A1EWWW;Adidas;13,2625;16,1371666666667;0;-0,216751492302859;0;0
31;2000-02-14;A1EWWW;Adidas;12,875;16,031935483871;0;-0,245198872533667;0;0
32;2000-02-15;A1EWWW;Adidas;12,425;15,91921875;0;-0,281224849094567;0;0
33;2000-02-16;A1EWWW;Adidas;12,825;15,8254545454545;0;-0,233953570795676;0;0
34;2000-02-17;A1EWWW;Adidas;13,125;15,7460294117647;0;-0,199697478991597;0;0
35;2000-02-18;A1EWWW;Adidas;13,625;15,6854285714286;0;-0,151224115334207;0;0
36;2000-02-21;A1EWWW;Adidas;12,925;15,60875;0;-0,207640232108317;0;0
37;2000-02-22;A1EWWW;Adidas;12,8625;15,534527027027;0;-0,20773776692144;0;0
38;2000-02-23;A1EWWW;Adidas;12,4;15,4520394736842;0;-0,246132215619694;0;0
39;2000-02-24;A1EWWW;Adidas;12,25;15,3699358974359;0;-0,254688644688644;0;0
40;2000-02-25;A1EWWW;Adidas;12,55;15,2994375;0;-0,219078685258964;0;0
41;2000-02-28;A1EWWW;Adidas;13,245;15,2493292682927;0;-0,151327238074193;0;0
42;2000-02-29;A1EWWW;Adidas;13,75;15,2136309523809;0;-0,106445887445887;0;0
43;2000-03-01;A1EWWW;Adidas;13,75;15,1795930232558;0;-0,103970401691332;0;0
44;2000-03-02;A1EWWW;Adidas;14,75;15,1698295454545;0;-0,0284630200308164;0;0
45;2000-03-03;A1EWWW;Adidas;13,6775;15,1366666666667;0;-0,106683726314507;0;0
46;2000-03-06;A1EWWW;Adidas;12,7625;15,0850543478261;0;-0,181982710897245;0;0
47;2000-03-07;A1EWWW;Adidas;13;15,0406914893617;0;-0,156976268412438;0;0
48;2000-03-08;A1EWWW;Adidas;13,05;14,99921875;0;-0,149365421455938;0;0
49;2000-03-09;A1EWWW;Adidas;12,9;14,9563775510204;0;-0,159409112482202;0;0
50;2000-03-10;A1EWWW;Adidas;12,75;14,91225;0;-0,169588235294117;0;0
51;2000-03-13;A1EWWW;Adidas;12,5875;14,8666666666667;0;-0,181065872227739;0;0
52;2000-03-14;A1EWWW;Adidas;12,75;14,8259615384615;0;-0,162820512820512;0;0
53;2000-03-15;A1EWWW;Adidas;12,5375;14,7827830188679;0;-0,179085385353374;0;0
54;2000-03-16;A1EWWW;Adidas;14,25;14,7729166666667;0;-0,0366959064327483;0;0
55;2000-03-17;A1EWWW;Adidas;13,7525;14,7543636363636;0;-0,0728495645419841;0;0
56;2000-03-20;A1EWWW;Adidas;13,5875;14,7335267857143;0;-0,0843441976606649;0;0
57;2000-03-21;A1EWWW;Adidas;13,88;14,7185526315789;0;-0,0604144547247078;0;0
58;2000-03-22;A1EWWW;Adidas;13,5725;14,6987931034483;0;-0,0829834668224921;0;0
59;2000-03-23;A1EWWW;Adidas;13,5;14,6784745762712;0;-0,0872944130571247;0;0
60;2000-03-24;A1EWWW;Adidas;13,325;14,6559166666667;0;-0,0998811757348342;0;0
61;2000-03-27;A1EWWW;Adidas;13,8525;14,6427459016393;0;-0,0570471684995014;0;0
62;2000-03-28;A1EWWW;Adidas;13,7625;14,6285483870968;0;-0,0629281298526266;0;0
63;2000-03-29;A1EWWW;Adidas;14,175;14,6213492063492;0;-0,0314884801657287;0;0
64;2000-03-30;A1EWWW;Adidas;14,65;14,621796875;0;0,00192512798634831;0;0
65;2000-03-31;A1EWWW;Adidas;14,5;14,6199230769231;0;-0,00827055702917753;0;0
66;2000-04-03;A1EWWW;Adidas;14,25;14,6143181818182;0;-0,025566188197767;0;0
67;2000-04-04;A1EWWW;Adidas;14,3625;14,6105597014925;0;-0,0172713456217603;0;0
68;2000-04-05;A1EWWW;Adidas;14,15;14,6037867647059;0;-0,0320697360216168;0;0
69;2000-04-06;A1EWWW;Adidas;14,325;14,5997463768116;0;-0,0191795027442647;0;0
70;2000-04-07;A1EWWW;Adidas;14,0625;14,5920714285714;0;-0,0376584126984125;0;0
71;2000-04-10;A1EWWW;Adidas;14,3425;14,5885563380282;0;-0,0171557495574808;0;0
72;2000-04-11;A1EWWW;Adidas;14,3875;14,5857638888889;0;-0,0137802876725552;0;0
73;2000-04-12;A1EWWW;Adidas;15,175;14,5938356164384;0;0,0382974882083457;0;0
74;2000-04-13;A1EWWW;Adidas;16,1125;14,6143581081081;0;0,0929801019017467;0;0
75;2000-04-14;A1EWWW;Adidas;15,375;14,6245;0;0,0488130081300815;0;0
76;2000-04-17;A1EWWW;Adidas;16,0125;14,6427631578947;0;0,0855417231603599;0;0
77;2000-04-18;A1EWWW;Adidas;15,975;14,6600649350649;0;0,0823120541430402;0;0
78;2000-04-19;A1EWWW;Adidas;15,625;14,6724358974359;0;0,0609641025641027;0;0
79;2000-04-20;A1EWWW;Adidas;15,625;14,6844936708861;0;0,0601924050632913;0;0
80;2000-04-21;A1EWWW;Adidas;15,625;14,69625;0;0,0594400000000002;0;0
81;2000-04-24;A1EWWW;Adidas;15,625;14,7077160493827;0;0,0587061728395063;0;0
82;2000-04-25;A1EWWW;Adidas;16,375;14,7280487804878;0;0,100577173710668;0;0
83;2000-04-26;A1EWWW;Adidas;17,4225;14,7605120481928;0;0,152790239736389;0;0
84;2000-04-27;A1EWWW;Adidas;17,5;14,793125;0;0,154678571428572;0;0
85;2000-04-28;A1EWWW;Adidas;17,6125;14,8262941176471;0;0,15819479814637;0;0
86;2000-05-01;A1EWWW;Adidas;17,6125;14,8586918604651;0;0,156355323749319;0;0
87;2000-05-02;A1EWWW;Adidas;17,5;14,8890517241379;0;0,149197044334976;0;0
88;2000-05-03;A1EWWW;Adidas;17,25;14,9158806818182;0;0,135311264822135;0;0
89;2000-05-04;A1EWWW;Adidas;16,625;14,9350842696629;0;0,101649066486441;0;0
90;2000-05-05;A1EWWW;Adidas;17,55;14,9641388888889;0;0,147342513453625;0;0
91;2000-05-08;A1EWWW;Adidas;17,3725;14,9906043956044;0;0,137107244460821;0;0
92;2000-05-09;A1EWWW;Adidas;16,6;15,008097826087;0;0,0958977213200633;0;0
93;2000-05-10;A1EWWW;Adidas;16,6875;15,0261559139785;0;0,0995561999114014;0;0
94;2000-05-11;A1EWWW;Adidas;17;15,0471542553191;0;0,114873279098874;0;0
95;2000-05-12;A1EWWW;Adidas;17,125;15,0690263157895;0;0,120056857472148;0;0
96;2000-05-15;A1EWWW;Adidas;17,0225;15,089375;0;0,113562931414305;0;0
97;2000-05-16;A1EWWW;Adidas;16,7875;15,106881443299;0;0,100111306430442;0;0
98;2000-05-17;A1EWWW;Adidas;16,85;15,1246683673469;0;0,102393568703446;0;0
99;2000-05-18;A1EWWW;Adidas;16,175;15,1352777777778;0;0,0642795809720081;0;0
100;2000-05-19;A1EWWW;Adidas;16,425;15,148175;0;0,0777366818873674;0;0
101;2000-05-22;A1EWWW;Adidas;15,6725;15,1533663366337;0;0,0331238579273469;0;0
102;2000-05-23;A1EWWW;Adidas;15,375;15,1555392156863;0;0,0142738721504867;0;0
103;2000-05-24;A1EWWW;Adidas;15,375;15,1576699029126;0;0,0141352908674724;0;0
104;2000-05-25;A1EWWW;Adidas;15,7475;15,1633413461538;0;0,0370953264865003;0;0
105;2000-05-26;A1EWWW;Adidas;15,8725;15,1700952380952;0;0,0442529382204928;0;0
106;2000-05-29;A1EWWW;Adidas;15,7525;15,1755896226415;0;0,0366234170676718;0;0
107;2000-05-30;A1EWWW;Adidas;15,6;15,1795560747663;0;0,026951533668824;0;0
108;2000-05-31;A1EWWW;Adidas;15,725;15,1846064814815;0;0,0343652476005424;0;0
109;2000-06-01;A1EWWW;Adidas;16,1875;15,1938073394495;0;0,0613864191845849;0;0
110;2000-06-02;A1EWWW;Adidas;16,5;15,2056818181818;0;0,0784435261707996;0;0
111;2000-06-05;A1EWWW;Adidas;16,5;15,2173423423423;0;0,0777368277368283;0;0
112;2000-06-06;A1EWWW;Adidas;16,5;15,2287946428571;0;0,0770427489177495;0;0
113;2000-06-07;A1EWWW;Adidas;16,425;15,2393805309734;0;0,0721838337306886;0;0
114;2000-06-08;A1EWWW;Adidas;16,2975;15,2486622807017;0;0,0643557428622952;0;0
115;2000-06-09;A1EWWW;Adidas;15,965;15,2548913043478;0;0,044479091490898;0;0
116;2000-06-12;A1EWWW;Adidas;15,875;15,2602370689655;0;0,0387252240021729;0;0
117;2000-06-13;A1EWWW;Adidas;15,5775;15,2629487179487;0;0,0201926677612771;0;0
118;2000-06-14;A1EWWW;Adidas;15,825;15,2677118644068;0;0,0352156799742958;0;0
119;2000-06-15;A1EWWW;Adidas;15,75;15,2717647058823;0;0,030364145658264;0;0
120;2000-06-16;A1EWWW;Adidas;14,905;15,2687083333333;0;-0,0244017667449396;0;0
121;2000-06-19;A1EWWW;Adidas;15,325;15,269173553719;0;0,00364283499386631;0;0
122;2000-06-20;A1EWWW;Adidas;15,4;15,2702459016393;0;0,00842559080264062;0;0
123;2000-06-21;A1EWWW;Adidas;15;15,2680487804878;0;-0,0178699186991864;0;0
124;2000-06-22;A1EWWW;Adidas;15,25;15,2679032258064;0;-0,00117398202009459;0;0
125;2000-06-23;A1EWWW;Adidas;14,48;15,2616;0;-0,0539779005524855;0;0
126;2000-06-26;A1EWWW;Adidas;14,81;15,2580158730159;0;-0,0302509029720367;0;0
127;2000-06-27;A1EWWW;Adidas;14,25;15,2500787401575;0;-0,070180964221577;0;0
128;2000-06-28;A1EWWW;Adidas;14,825;15,2467578125;0;-0,028449093591905;0;0
129;2000-06-29;A1EWWW;Adidas;14,4375;15,21951171875;0;-0,0541653138528132;0;0
130;2000-06-30;A1EWWW;Adidas;14,485;15,19595703125;0;-0,0490822941836377;0;0
131;2000-07-03;A1EWWW;Adidas;14,65;15,17369140625;0;-0,0357468536689414;0;0
132;2000-07-04;A1EWWW;Adidas;14,4375;15,14390625;0;-0,0489285714285709;0;0
133;2000-07-05;A1EWWW;Adidas;14,5775;15,11716796875;0;-0,0370206118161545;0;0
134;2000-07-06;A1EWWW;Adidas;14,525;15,087890625;0;-0,0387532271944919;0;0
135;2000-07-07;A1EWWW;Adidas;14,85;15,06248046875;0;-0,0143084490740737;0;0
136;2000-07-10;A1EWWW;Adidas;14,425;15,03455078125;0;-0,0422565532928938;0;0
137;2000-07-11;A1EWWW;Adidas;14;15,0075;0;-0,0719642857142852;0;0
138;2000-07-12;A1EWWW;Adidas;14,2475;14,987265625;0;-0,0519224864011224;0;0
139;2000-07-13;A1EWWW;Adidas;14,0375;14,96412109375;0;-0,0660104073909166;0;0
140;2000-07-14;A1EWWW;Adidas;13,7475;14,9387109375;0;-0,0866492771412978;0;0
141;2000-07-17;A1EWWW;Adidas;13,8125;14,91654296875;0;-0,0799307126696827;0;0
142;2000-07-18;A1EWWW;Adidas;14,46;14,90158203125;0;-0,0305381764349925;0;0
143;2000-07-19;A1EWWW;Adidas;14,625;14,8878125;0;-0,017970085470085;0;0
144;2000-07-20;A1EWWW;Adidas;14,7125;14,87384765625;0;-0,0109667056074761;0;0
145;2000-07-21;A1EWWW;Adidas;14,3875;14,8615625;0;-0,0329496090356209;0;0
146;2000-07-24;A1EWWW;Adidas;14,875;14,85736328125;0;0,00118566176470633;0;0
147;2000-07-25;A1EWWW;Adidas;14,6;14,8437890625;0;-0,0166978809931503;0;0
148;2000-07-26;A1EWWW;Adidas;14,625;14,836953125;0;-0,0144925213675209;0;0
149;2000-07-27;A1EWWW;Adidas;14,375;14,83732421875;0;-0,0321616847826082;0;0
150;2000-07-28;A1EWWW;Adidas;14,4725;14,8349609375;0;-0,0250448048022106;0;0
151;2000-07-31;A1EWWW;Adidas;14,4625;14,83564453125;0;-0,0258008318928258;0;0
152;2000-08-01;A1EWWW;Adidas;14,4975;14,836796875;0;-0,0234038196240727;0;0
153;2000-08-02;A1EWWW;Adidas;14,225;14,8358203125;0;-0,0429399165202105;0;0
154;2000-08-03;A1EWWW;Adidas;14,225;14,8264453125;0;-0,0422808655536024;0;0
155;2000-08-04;A1EWWW;Adidas;13,75;14,82017578125;0;-0,0778309659090906;0;0
156;2000-08-07;A1EWWW;Adidas;13,575;14,81880859375;0;-0,091624942449355;0;0
157;2000-08-08;A1EWWW;Adidas;13,675;14,81646484375;0;-0,083470920932358;0;0
158;2000-08-09;A1EWWW;Adidas;13,8275;14,82087890625;0;-0,0718408176640749;0;0
159;2000-08-10;A1EWWW;Adidas;13,6725;14,827109375;0;-0,0844475681111718;0;0
160;2000-08-11;A1EWWW;Adidas;13,725;14,837265625;0;-0,0810393897996354;0;0
161;2000-08-14;A1EWWW;Adidas;13,7375;14,84439453125;0;-0,0805746701546858;0;0
162;2000-08-15;A1EWWW;Adidas;13,7225;14,8490625;0;-0,0820960102022223;0;0
163;2000-08-16;A1EWWW;Adidas;13,85;14,8508203125;0;-0,0722613944043318;0;0
164;2000-08-17;A1EWWW;Adidas;13,7875;14,85755859375;0;-0,0776107774252036;0;0
165;2000-08-18;A1EWWW;Adidas;13,76;14,8645703125;0;-0,080274005268895;0;0
166;2000-08-21;A1EWWW;Adidas;13,6875;14,87462890625;0;-0,0867308789954335;0;0
167;2000-08-22;A1EWWW;Adidas;13,7375;14,88625;0;-0,0836214740673334;0;0
168;2000-08-23;A1EWWW;Adidas;13,7125;14,89533203125;0;-0,0862594006381036;0;0
169;2000-08-24;A1EWWW;Adidas;13,6875;14,8987890625;0;-0,0884960045662097;0;0
170;2000-08-25;A1EWWW;Adidas;13,6875;14,89830078125;0;-0,088460331050228;0;0
171;2000-08-28;A1EWWW;Adidas;14,005;14,90029296875;0;-0,0639266668154227;0;0
172;2000-08-29;A1EWWW;Adidas;14,4325;14,8978125;0;-0,0322406028061664;0;0
173;2000-08-30;A1EWWW;Adidas;14,6875;14,905703125;0;-0,0148563829787232;0;0
174;2000-08-31;A1EWWW;Adidas;15,155;14,92439453125;0;0,0152164611514354;0;0
175;2000-09-01;A1EWWW;Adidas;15,875;14,94685546875;0;0,0584657972440947;0;0
176;2000-09-04;A1EWWW;Adidas;15,8375;14,9686328125;0;0,0548613851617997;0;0
177;2000-09-05;A1EWWW;Adidas;15,685;14,990390625;0;0,0442849458080971;0;0
178;2000-09-06;A1EWWW;Adidas;15,6375;15,01294921875;0;0,0399392985611511;0;0
179;2000-09-07;A1EWWW;Adidas;15,845;15,0383984375;0;0,0509057470810982;0;0
180;2000-09-08;A1EWWW;Adidas;15,9725;15,06357421875;0;0,0569056679449054;0;0
181;2000-09-11;A1EWWW;Adidas;16,185;15,0920703125;0;0,0675273208217485;0;0
182;2000-09-12;A1EWWW;Adidas;16;15,1057421875;0;0,05589111328125;0;0
183;2000-09-13;A1EWWW;Adidas;15,5225;15,1195703125;0;0,0259577830568531;0;0
184;2000-09-14;A1EWWW;Adidas;15,35;15,13333984375;0;0,0141146681596092;0;0
185;2000-09-15;A1EWWW;Adidas;15,25;15,14404296875;0;0,00694800204918044;0;0
186;2000-09-18;A1EWWW;Adidas;15,555;15,15953125;0;0,0254238990678239;0;0
187;2000-09-19;A1EWWW;Adidas;15;15,17125;0;-0,0114166666666666;0;0
188;2000-09-20;A1EWWW;Adidas;14,7675;15,18251953125;0;-0,0281035741493142;0;0
189;2000-09-21;A1EWWW;Adidas;14,4625;15,18728515625;0;-0,050114790406223;0;0
190;2000-09-22;A1EWWW;Adidas;14,325;15,1916796875;0;-0,0605011998254799;0;0
191;2000-09-25;A1EWWW;Adidas;14,25;15,192265625;0;-0,0661239035087719;0;0
192;2000-09-26;A1EWWW;Adidas;14,845;15,1937890625;0;-0,0234953898619062;0;0
193;2000-09-27;A1EWWW;Adidas;14,995;15,19765625;0;-0,0135149216405468;0;0
194;2000-09-28;A1EWWW;Adidas;15,475;15,2072265625;0;0,017303614701131;0;0
195;2000-09-29;A1EWWW;Adidas;15,5325;15,2163671875;0;0,0203529896990184;0;0
196;2000-10-02;A1EWWW;Adidas;15,4875;15,22681640625;0;0,0168318704600486;0;0
197;2000-10-03;A1EWWW;Adidas;15,4875;15,2358984375;0;0,0162454600484265;0;0
198;2000-10-04;A1EWWW;Adidas;15,32;15,24572265625;0;0,00484839058420397;0;0
199;2000-10-05;A1EWWW;Adidas;15,0775;15,25146484375;0;-0,0115380430276901;0;0
200;2000-10-06;A1EWWW;Adidas;14,98;15,25609375;0;-0,0184308244325766;0;0
201;2000-10-09;A1EWWW;Adidas;15,2375;15,25658203125;0;-0,00125230721903182;0;0
202;2000-10-10;A1EWWW;Adidas;15,485;15,2516796875;0;0,015067504843397;0;0
203;2000-10-11;A1EWWW;Adidas;15,65;15,253828125;0;0,025314496805112;0;0
204;2000-10-12;A1EWWW;Adidas;15,25;15,24787109375;0;0,000139600409836201;0;0
205;2000-10-13;A1EWWW;Adidas;15,025;15,24044921875;0;-0,014339382279534;0;0
206;2000-10-16;A1EWWW;Adidas;15;15,23556640625;0;-0,0157044270833333;0;0
207;2000-10-17;A1EWWW;Adidas;14,2;15,22443359375;0;-0,0721432108274647;0;0
208;2000-10-18;A1EWWW;Adidas;13,5075;15,207890625;0;-0,125884925041643;0;0
209;2000-10-19;A1EWWW;Adidas;13,2475;15,18931640625;0;-0,146579838177014;0;0
210;2000-10-20;A1EWWW;Adidas;13,1725;15,164296875;0;-0,15120872081989;0;0
211;2000-10-23;A1EWWW;Adidas;13,1375;15,1308203125;0;-0,151727521408183;0;0
212;2000-10-24;A1EWWW;Adidas;13,175;15,09703125;0;-0,145884724857685;0;0
213;2000-10-25;A1EWWW;Adidas;13,11;15,06185546875;0;-0,148882949561403;0;0
214;2000-10-26;A1EWWW;Adidas;13,2175;15,02751953125;0;-0,136941141006241;0;0
215;2000-10-27;A1EWWW;Adidas;13,0375;14,99265625;0;-0,149964046021093;0;0
216;2000-10-30;A1EWWW;Adidas;13,15;14,960625;0;-0,137690114068441;0;0
217;2000-10-31;A1EWWW;Adidas;13,525;14,93640625;0;-0,104355360443623;0;0
218;2000-11-01;A1EWWW;Adidas;13,3875;14,90388671875;0;-0,113268849206349;0;0
219;2000-11-02;A1EWWW;Adidas;14,125;14,878515625;0;-0,0533462389380529;0;0
220;2000-11-03;A1EWWW;Adidas;14,22;14,859921875;0;-0,0450015383263007;0;0
221;2000-11-06;A1EWWW;Adidas;14,3775;14,841875;0;-0,0322987306555381;0;0
222;2000-11-07;A1EWWW;Adidas;14,9625;14,82595703125;0;0,00912567878028426;0;0
223;2000-11-08;A1EWWW;Adidas;14,965;14,80908203125;0;0,0104188418810559;0;0
224;2000-11-09;A1EWWW;Adidas;14,825;14,7919140625;0;0,00223176644182132;0;0
225;2000-11-10;A1EWWW;Adidas;14,6475;14,7751953125;0;-0,00871789127837504;0;0
226;2000-11-13;A1EWWW;Adidas;14,3;14,7552734375;0;-0,0318373033216781;0;0
227;2000-11-14;A1EWWW;Adidas;14,765;14,7442578125;0;0,00140482136810046;0;0
228;2000-11-15;A1EWWW;Adidas;14,985;14,7330078125;0;0,0168162954621289;0;0
229;2000-11-16;A1EWWW;Adidas;15,09;14,72845703125;0;0,0239591099237908;0;0
230;2000-11-17;A1EWWW;Adidas;15,4;14,72865234375;0;0,0435940036525976;0;0
231;2000-11-20;A1EWWW;Adidas;15,665;14,73091796875;0;0,0596286007819982;0;0
232;2000-11-21;A1EWWW;Adidas;16,2225;14,73462890625;0;0,0917165106333796;0;0
233;2000-11-22;A1EWWW;Adidas;15,975;14,7354296875;0;0,0775943857589984;0;0
234;2000-11-23;A1EWWW;Adidas;15,725;14,73521484375;0;0,0629434121621622;0;0
235;2000-11-24;A1EWWW;Adidas;16,125;14,73931640625;0;0,0859338662790699;0;0
236;2000-11-27;A1EWWW;Adidas;16,19;14,74294921875;0;0,0893792947035209;0;0
237;2000-11-28;A1EWWW;Adidas;16,35;14,74421875;0;0,0982129204892969;0;0
238;2000-11-29;A1EWWW;Adidas;16,3125;14,74275390625;0;0,09622964559387;0;0
239;2000-11-30;A1EWWW;Adidas;16,3125;14,7412890625;0;0,0963194444444447;0;0
240;2000-12-01;A1EWWW;Adidas;16,125;14,738359375;0;0,0859932170542639;0;0
241;2000-12-04;A1EWWW;Adidas;16,6275;14,73994140625;0;0,113520288302511;0;0
242;2000-12-05;A1EWWW;Adidas;17,3775;14,74837890625;0;0,151294552942023;0;0
243;2000-12-06;A1EWWW;Adidas;17,2;14,75802734375;0;0,14197515443314;0;0
244;2000-12-07;A1EWWW;Adidas;17,175;14,76818359375;0;0,140134870815138;0;0
245;2000-12-08;A1EWWW;Adidas;17,1125;14,78017578125;0;0,136293599342586;0;0
246;2000-12-11;A1EWWW;Adidas;16,55;14,78583984375;0;0,106595779833837;0;0
247;2000-12-12;A1EWWW;Adidas;16,21;14,78943359375;0;0,0876351885410243;0;0
248;2000-12-13;A1EWWW;Adidas;15,7225;14,7958203125;0;0,0589397161710926;0;0
249;2000-12-14;A1EWWW;Adidas;16,5425;14,80533203125;0;0,105012420658909;0;0
250;2000-12-15;A1EWWW;Adidas;16,255;14,81201171875;0;0,0887719643955706;0;0
251;2000-12-18;A1EWWW;Adidas;16,7475;14,8256640625;0;0,114753601283774;0;0
252;2000-12-19;A1EWWW;Adidas;16,5;14,8354296875;0;0,100883049242424;0;0
253;2000-12-20;A1EWWW;Adidas;16,35;14,8500390625;0;0,0917407301223242;0;0
254;2000-12-21;A1EWWW;Adidas;15,5;14,8554296875;0;0,0415851814516128;0;0
255;2000-12-22;A1EWWW;Adidas;15,8;14,8675390625;0;0,0590165150316456;0;0
256;2000-12-25;A1EWWW;Adidas;15,8;14,87515625;0;0,0585344145569621;0;0
257;2000-12-26;A1EWWW;Adidas;15,8;14,88580078125;0;0,0578607100474685;0;0
258;2000-12-27;A1EWWW;Adidas;16;14,89763671875;0;0,068897705078125;0;0
259;2000-12-28;A1EWWW;Adidas;16,125;14,90916015625;0;0,0754009205426357;0;0
260;2000-12-29;A1EWWW;Adidas;16,5;14,9252734375;0;0,0954379734848485;0;0
261;2001-01-01;A1EWWW;Adidas;16,5;14,94029296875;0;0,0945276988636364;0;0
262;2001-01-02;A1EWWW;Adidas;16,25;14,95376953125;0;0,0797680288461539;0;0
263;2001-01-03;A1EWWW;Adidas;15,9;14,96197265625;0;0,0589954304245284;0;0
264;2001-01-04;A1EWWW;Adidas;16,5;14,97818359375;0;0,0922312973484849;0;0
265;2001-01-05;A1EWWW;Adidas;17,0375;15,0019140625;0;0,119476797505503;0;0
266;2001-01-08;A1EWWW;Adidas;18,0325;15,031484375;0;0,166422605018716;0;0
267;2001-01-09;A1EWWW;Adidas;18,8575;15,069140625;0;0,20089404083256;0;0
268;2001-01-10;A1EWWW;Adidas;18,4;15,10548828125;0;0,179049549932065;0;0
269;2001-01-11;A1EWWW;Adidas;18,115;15,1391015625;0;0,164278136213083;0;0
270;2001-01-12;A1EWWW;Adidas;17,98;15,1666015625;0;0,156473772942158;0;0
271;2001-01-15;A1EWWW;Adidas;18,4075;15,19615234375;0;0,17445865306261;0;0
272;2001-01-16;A1EWWW;Adidas;18,2375;15,22369140625;0;0,165253384167238;0;0
273;2001-01-17;A1EWWW;Adidas;18,6075;15,25666015625;0;0,180080066841327;0;0
274;2001-01-18;A1EWWW;Adidas;18,47;15,28474609375;0;0,172455544463995;0;0
275;2001-01-19;A1EWWW;Adidas;18,7625;15,317265625;0;0,183623417721519;0;0
276;2001-01-22;A1EWWW;Adidas;18,6125;15,34841796875;0;0,175370424781733;0;0
277;2001-01-23;A1EWWW;Adidas;18,5375;15,3809375;0;0,17027983816588;0;0
278;2001-01-24;A1EWWW;Adidas;18,32;15,41099609375;0;0,15878842283024;0;0
279;2001-01-25;A1EWWW;Adidas;18,4625;15,44224609375;0;0,163588566350711;0;0
280;2001-01-26;A1EWWW;Adidas;18,465;15,4732421875;0;0,162023168832927;0;0
281;2001-01-29;A1EWWW;Adidas;18,625;15,5076171875;0;0,167376258389262;0;0
282;2001-01-30;A1EWWW;Adidas;19,3325;15,54751953125;0;0,195783290766843;0;0
283;2001-01-31;A1EWWW;Adidas;19,35;15,59126953125;0;0,194249636627907;0;0
284;2001-02-01;A1EWWW;Adidas;18,9825;15,633515625;0;0,176424832082181;0;0
285;2001-02-02;A1EWWW;Adidas;18;15,6673046875;0;0,129594184027778;0;0
286;2001-02-05;A1EWWW;Adidas;17,43;15,69544921875;0;0,0995152484939758;0;0
287;2001-02-06;A1EWWW;Adidas;17,9825;15,72912109375;0;0,125309545738913;0;0
288;2001-02-07;A1EWWW;Adidas;17,8525;15,7613671875;0;0,117133892312001;0;0
289;2001-02-08;A1EWWW;Adidas;18,29;15,79693359375;0;0,136307621992892;0;0
290;2001-02-09;A1EWWW;Adidas;18,2575;15,83236328125;0;0,132829616253594;0;0
291;2001-02-12;A1EWWW;Adidas;18,1575;15,866015625;0;0,12620043370508;0;0
292;2001-02-13;A1EWWW;Adidas;18,15;15,90009765625;0;0,123961561639118;0;0
293;2001-02-14;A1EWWW;Adidas;17,975;15,93302734375;0;0,113600704102921;0;0
